companyName,datePublished,ratingValue,reviewBody
Square Canada Inc.,2023-01-19T00:00:00,1,"Started using Square in October 2022. Received an email January 19, 2023, telling me that my account is deactivated.  Something about General Terms, which I read and does not make sense. Called customer support and was told that there is no phone number to call for the accounts department in order to find out the problem.  After I questioned some more  I was told to sign up using a different email.  How does this help? No emails from Square and  no one to speak to. I have been SQUARED!Please get the word out   buyer beware."
Square Canada Inc.,2023-01-13T00:00:00,1,"The worst company to deal with they cancel the account with no explanation, and then they hold the my money for 90 to 180days again with no explanation and then, when you call they hang up on you. Apparently there is no more active account. They have nothing to talk about. Meanwhile agan , they hold my money. Unbelievable. Horrible company horrible!!!!"
Square Canada Inc.,2022-12-30T00:00:00,1,"DO NOT DO BUSINESS WITH THIS COMPANY.  YOU'VE BEEN WARNED.  Everything is great so long as you never make any changes to your account, or need to call for support. ABSOLUTE NIGHTMARE TO DEAL WITH THIS COMPANY.I attempted to apply for their Square card as offered on their website, clicked submit and it failed.  I attempted a second time and thought it was a connection issue.  Now they locked my account due to ""fraud"".  Each time I call, they say they're investigating and it'll be another week, then a week passes and they say it'll be another week. They won't escalate anything, you can't talk to this magical team that is investigating, you can't talk to a supervisor, you just wait while they hold your money hostage.  TRUST ME....DO NOT DO BUSINESS WITH THIS COMPANY....."
Square Canada Inc.,2022-11-16T00:00:00,1,If I could do zero stars I would . Worst company ever . All I had wanted to do was change my bank account but want able . And customer service is zero. I tried to call numerous times and it directs you to chat . They told me they can’t help me but to call them . But there’s no one to call. So I changed to clover . Way better customer service . You can actually talk with them unlike square.
Square Canada Inc.,2022-12-08T00:00:00,5,"Very easy to use. The devices are not too expensive, neither the fees.  The sales reports are clear. Good consumers service online. Reliable. I use it for years and highly recommend for small businesses!"
Square Canada Inc.,2022-09-24T00:00:00,1,"I ordered a Square Terminal after being told it would work at remote craft fairs, with no wifi. Not the case.. so I rejected delivery at the post office. It's stuck in customs now and has been for a month. Customer service was horribly condescending. and kept me on the phone for hours, only to tell me they could do nothing. Their policy is to wait for delivery before stopping the payment plan I arranged, or giving a refund for the one's already made. Basically, I have nothing to show for a $399 before tax, piece of hardware I do not own. As a senior on a fixed income working to make ends meet.. I am an extremely unhappy customer!"
Square Canada Inc.,2022-11-22T00:00:00,1,Square is not user friendly for people with disabilities. I’m blind and they insist on texting and doesn’t allow me to speak with a live agent. I highly do not recommend this company.
Square Canada Inc.,2022-11-18T00:00:00,1,"Absolutely terrible company, they will hold your money for extended periods while they allocate it to other needs. Huge scam. Do not trust them and do not bother doing business."
Square Canada Inc.,2022-08-19T00:00:00,1,"Sudden interruption of funds confirmed. First sale on my website & they halted all my brick and mortar business transfers to ""verify"" my account. Online customer service useless. They only tell you to call in & wait for hours. Haven't fixed it days later. Data glitches, expensive equipment. And never link your Etsy. Etsy will take a cut of EVERY transaction on Square, no matter if it's an Etsy sale or not. GO WITH YOUR BANK, no matter how much more it costs! Square is not worth the hassle. I deeply regret this choice."
Square Canada Inc.,2022-07-01T00:00:00,1,Square seemed like a great idea for our website payment gateway until we lost about $7k in chargebacks because they have the worst credit card verification program in the entire world.I went back to PayPal because otherwise Square would keep screwing up.
